City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Acajutla,13.5928,-89.8275,93.2,31,20,9.8,SV,2021-04-23 20:37:57
67,Aklavik,68.2191,-135.0107,33.8,51,75,4.61,CA,2021-04-23 20:42:49
68,Cockburn Town,21.4612,-71.1419,82.4,65,40,9.22,TC,2021-04-23 20:42:50
69,Guerrero Negro,27.9769,-114.0611,65.3,58,17,20.85,MX,2021-04-23 20:42:50
70,Tangzhai,34.4328,116.5911,53.42,84,100,9.08,CN,2021-04-23 20:42:50
71,Port Elizabeth,-33.918,25.5701,62.6,88,40,9.22,ZA,2021-04-23 20:42:51
72,Yellowknife,62.456,-114.3525,16.0,53,75,11.5,CA,2021-04-23 20:41:56
73,Zhangjiakou,40.81,114.8794,51.15,82,1,3.09,CN,2021-04-23 20:42:51
74,Tuatapere,-46.1333,167.6833,45.0,95,98,1.01,NZ,2021-04-23 20:42:52
75,Sept-Iles,50.2001,-66.3821,39.0,87,83,5.75,CA,2021-04-23 20:38:39
76,Shingu,33.7333,135.9833,57.38,72,100,2.93,JP,2021-04-23 20:42:52
77,Turinsk,58.0458,63.696,46.51,76,100,6.29,RU,2021-04-23 20:42:52
78,Uruguaiana,-29.7547,-57.0883,84.2,51,20,6.91,BR,2021-04-23 20:42:53
79,Luderitz,-26.6481,15.1594,63.63,80,46,8.39,NA,2021-04-23 20:42:53
80,San Policarpo,12.1791,125.5072,76.71,87,100,5.91,PH,2021-04-23 20:42:54
81,East London,-33.0153,27.9116,65.05,76,10,10.63,ZA,2021-04-23 20:42:54
82,Bethel,41.3712,-73.414,63.0,21,1,17.27,US,2021-04-23 20:39:30
83,Broken Hill,-31.95,141.4333,48.2,76,61,7.92,AU,2021-04-23 20:42:55
84,Dhadar,28.3305,75.0632,75.88,41,0,6.85,IN,2021-04-23 20:42:55
85,Aloleng,16.1307,119.7824,77.81,80,38,8.43,PH,2021-04-23 20:42:55
86,Verkhoyansk,67.5447,133.385,2.35,97,91,2.08,RU,2021-04-23 20:42:56
87,Paraiso,9.8383,-83.8656,80.6,61,40,19.57,CR,2021-04-23 20:42:57
88,Linxia,35.6003,103.2064,47.3,86,100,7.36,CN,2021-04-23 20:42:57
89,Havre-Saint-Pierre,50.2334,-63.5986,37.4,87,90,12.66,CA,2021-04-23 20:42:58
90,Rio Grande City,26.3798,-98.8203,93.99,58,65,4.0,US,2021-04-23 20:42:58
91,Valavanur,11.9209,79.5824,81.81,78,99,5.86,IN,2021-04-23 20:42:59
92,Hilo,19.7297,-155.09,75.2,78,90,4.61,US,2021-04-23 20:42:59
93,Ballina,-28.8667,153.5667,52.0,93,3,6.55,AU,2021-04-23 20:43:00
94,Port Alfred,-33.5906,26.891,66.51,73,0,21.39,ZA,2021-04-23 20:43:00
95,Gbadolite,4.2833,21.0167,68.09,93,100,2.73,CD,2021-04-23 20:43:01
96,Rock Sound,24.9,-76.2,76.24,70,42,17.81,BS,2021-04-23 20:43:01
97,Sioux Lookout,50.1001,-91.917,37.4,56,75,6.91,CA,2021-04-23 20:42:15
98,Jawhar,2.7809,45.5005,81.05,75,62,8.01,SO,2021-04-23 20:43:02
99,Hailey,43.5196,-114.3153,55.99,32,40,11.5,US,2021-04-23 20:43:02
100,Codajas,-3.8367,-62.0569,79.93,93,84,0.2,BR,2021-04-23 20:43:03
101,Yala,6.3333,101.25,74.75,89,93,3.85,TH,2021-04-23 20:43:03
102,Barrow,71.2906,-156.7887,17.6,79,1,6.91,US,2021-04-23 20:43:03
103,Pevek,69.7008,170.3133,10.36,91,52,4.36,RU,2021-04-23 20:43:04
104,Airai,-8.9266,125.4092,57.18,88,25,2.64,TL,2021-04-23 20:43:04
105,Sao Filipe,14.8961,-24.4956,72.34,73,47,10.07,CV,2021-04-23 20:43:05
106,Baruun-Urt,46.6806,113.2792,34.75,38,53,11.97,MN,2021-04-23 20:43:05
107,Selu,19.4667,76.4667,85.71,40,100,4.65,IN,2021-04-23 20:43:05
108,Iskar,43.45,24.2667,51.8,62,75,9.22,BG,2021-04-23 20:43:06
109,Komsomolskiy,40.4272,71.7189,55.4,50,5,6.91,UZ,2021-04-23 20:43:06
110,Susanino,58.1461,41.5872,45.63,89,43,9.91,RU,2021-04-23 20:43:06
111,Chiredzi,-21.05,31.6667,65.01,56,0,4.88,ZW,2021-04-23 20:43:07
112,Qaanaaq,77.484,-69.3632,23.31,82,100,5.19,GL,2021-04-23 20:43:07
113,Batemans Bay,-35.7167,150.1833,50.0,82,11,5.14,AU,2021-04-23 20:43:07
114,Walvis Bay,-22.9575,14.5053,64.4,68,6,2.3,NA,2021-04-23 20:43:08
115,Jinxiang,27.4327,120.6062,64.11,95,73,5.75,CN,2021-04-23 20:43:08
116,Carnarvon,-24.8667,113.6333,62.6,88,0,5.75,AU,2021-04-23 20:43:08
